No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
503,Theo Walcott,Arsenal,28,1944,10,10,2,9.90,9.14,2.53,11.12,2.42,0.46,0.42,0.12,0.58,0.54,0.51,0.11
574,Troy Deeney,Watford,37,2940,10,7,4,8.59,6.31,3.11,9.32,2.08,0.26,0.19,0.10,0.36,0.29,0.29,0.06
1661,Sam Vokes,Burnley,37,2030,10,8,3,8.35,6.83,1.53,7.93,1.69,0.37,0.30,0.07,0.44,0.37,0.35,0.08
531,Michail Antonio,West Ham,29,2451,9,9,3,9.79,9.79,3.39,13.23,3.04,0.36,0.36,0.12,0.48,0.48,0.49,0.11
687,Pedro,Chelsea,35,2178,9,9,9,5.99,5.99,5.53,16.25,6.78,0.25,0.25,0.23,0.48,0.48,0.67,0.28
714,Gylfi Sigurdsson,Swansea,38,3329,9,6,13,8.57,6.29,8.27,10.75,3.83,0.23,0.17,0.22,0.46,0.39,0.29,0.10
1660,Andre Gray,Burnley,32,2279,9,7,3,7.56,6.04,1.47,7.82,2.11,0.30,0.24,0.06,0.36,0.30,0.31,0.08
1715,Álvaro Negredo,Middlesbrough,36,2891,9,7,4,8.80,7.28,4.10,11.96,2.79,0.27,0.23,0.13,0.40,0.35,0.37,0.09
486,Adam Lallana,Liverpool,31,2371,8,8,7,4.51,4.51,4.11,16.63,10.08,0.17,0.17,0.16,0.33,0.33,0.63,0.38
499,Mesut Özil,Arsenal,33,2856,8,8,9,5.61,5.61,8.07,22.84,14.73,0.18,0.18,0.25,0.43,0.43,0.72,0.46
535,Manuel Lanzini,West Ham,35,2727,8,6,2,6.07,4.55,4.01,13.38,8.29,0.20,0.15,0.13,0.33,0.28,0.44,0.27
646,Christian Eriksen,Tottenham,36,3181,8,8,15,8.86,8.86,11.74,22.94,10.89,0.25,0.25,0.33,0.58,0.58,0.65,0.31
700,Willian,Chelsea,34,1509,8,8,2,3.76,3.76,3.06,9.14,4.57,0.22,0.22,0.18,0.41,0.41,0.55,0.27
813,Salomón Rondón,West Bromwich Albion,38,2902,8,8,2,9.36,9.36,2.85,13.40,2.58,0.29,0.29,0.09,0.38,0.38,0.42,0.08
463,Junior Stanislas,Bournemouth,21,1489,7,5,5,4.85,3.33,3.85,7.38,4.27,0.29,0.20,0.23,0.53,0.43,0.45,0.26
484,Divock Origi,Liverpool,34,1450,7,7,3,5.52,5.52,1.60,7.65,1.97,0.34,0.34,0.10,0.44,0.44,0.47,0.12
489,James Milner,Liverpool,36,3170,7,0,3,7.36,1.27,3.95,14.36,12.46,0.21,0.04,0.11,0.32,0.15,0.41,0.35
522,Wilfried Zaha,Crystal Palace,35,3033,7,7,9,5.57,5.57,4.54,12.50,3.01,0.17,0.17,0.13,0.30,0.30,0.37,0.09
537,Andy Carroll,West Ham,18,1318,7,7,1,4.52,4.52,1.72,6.55,3.01,0.31,0.31,0.12,0.43,0.43,0.45,0.21
572,Etienne Capoue,Watford,37,3231,7,7,1,3.72,3.72,1.51,6.28,2.68,0.10,0.10,0.04,0.15,0.15,0.18,0.07
618,Raheem Sterling,Manchester City,33,2532,7,7,6,8.11,8.11,5.50,18.46,6.76,0.29,0.29,0.20,0.48,0.48,0.66,0.24
790,Nathan Redmond,Southampton,37,2917,7,7,1,4.82,4.82,5.89,15.18,6.43,0.15,0.15,0.18,0.33,0.33,0.47,0.20
872,Peter Crouch,Stoke,27,1319,7,7,2,5.87,5.87,3.20,7.92,1.76,0.40,0.40,0.22,0.62,0.62,0.54,0.12
1682,Islam Slimani,Leicester,23,1275,7,6,4,6.82,6.06,2.07,7.71,2.08,0.48,0.43,0.15,0.63,0.57,0.54,0.15
1691,Robert Snodgrass,Hull,35,2563,7,5,5,4.38,2.86,4.32,5.55,3.43,0.15,0.10,0.15,0.31,0.25,0.19,0.12
5543,Gabriel Jesus,Manchester City,10,649,7,6,4,7.24,6.48,1.89,8.80,1.13,1.00,0.90,0.26,1.27,1.16,1.22,0.16
447,Kevin De Bruyne,Manchester City,36,2893,6,6,18,6.77,6.01,15.89,28.54,15.75,0.21,0.19,0.49,0.70,0.68,0.89,0.49
468,Callum Wilson,Bournemouth,20,1382,6,3,0,5.37,3.08,0.55,4.32,0.89,0.35,0.20,0.04,0.39,0.24,0.28,0.06
480,Joe Allen,Stoke,36,2942,6,6,2,5.68,5.68,4.65,13.04,6.20,0.17,0.17,0.14,0.32,0.32,0.40,0.19
554,Juan Mata,Manchester United,25,1641,6,6,3,5.67,5.67,4.54,11.84,6.04,0.31,0.31,0.25,0.56,0.56,0.65,0.33
699,Gary Cahill,Chelsea,37,3299,6,6,0,3.30,3.30,0.17,7.97,7.81,0.09,0.09,0.00,0.09,0.09,0.22,0.21
711,Leroy Fer,Swansea,34,2393,6,6,2,5.21,5.21,1.06,7.08,4.93,0.20,0.20,0.04,0.24,0.24,0.27,0.19
713,André Ayew,West Ham,25,1432,6,6,3,7.65,7.65,2.37,9.08,1.35,0.48,0.48,0.15,0.63,0.63,0.57,0.09
750,Riyad Mahrez,Leicester,36,2859,6,3,3,8.95,5.14,6.25,12.87,4.79,0.28,0.16,0.20,0.48,0.36,0.41,0.15
771,Georginio Wijnaldum,Liverpool,36,2981,6,6,9,5.57,5.57,5.30,18.88,10.87,0.17,0.17,0.16,0.33,0.33,0.57,0.33
806,Gareth McAuley,West Bromwich Albion,36,3150,6,6,1,3.69,3.69,0.38,2.10,1.77,0.11,0.11,0.01,0.12,0.12,0.06,0.05
826,Benik Afobe,Bournemouth,31,1436,6,6,3,8.92,8.16,1.83,8.78,1.26,0.56,0.51,0.11,0.67,0.63,0.55,0.08
848,Charlie Austin,Southampton,15,946,6,4,1,6.62,5.10,1.62,6.86,1.56,0.63,0.49,0.15,0.78,0.64,0.65,0.15
865,Marko Arnautovic,Stoke,32,2742,6,6,5,9.20,8.44,7.13,17.07,4.32,0.30,0.28,0.23,0.54,0.51,0.56,0.14
1621,Marcos Alonso,Chelsea,31,2696,6,6,3,4.15,4.15,3.15,13.07,8.17,0.14,0.14,0.11,0.24,0.24,0.44,0.27
4422,Ashley Barnes,Burnley,28,1788,6,4,2,6.59,5.07,2.39,6.56,0.57,0.33,0.26,0.12,0.45,0.38,0.33,0.03
337,Leroy Sané,Manchester City,26,1793,5,5,3,5.82,5.82,5.70,14.74,6.49,0.29,0.29,0.29,0.58,0.58,0.74,0.33
556,Marcus Rashford,Manchester United,32,1687,5,5,1,6.27,6.27,1.99,9.41,3.63,0.33,0.33,0.11,0.44,0.44,0.50,0.19
592,Ross Barkley,Everton,36,2922,5,5,8,6.94,6.94,7.26,16.26,8.15,0.21,0.21,0.22,0.44,0.44,0.50,0.25
604,Emre Can,Liverpool,32,2360,5,5,2,3.21,3.21,2.09,12.05,7.73,0.12,0.12,0.08,0.20,0.20,0.46,0.29
629,Wayne Rooney,Manchester United,25,1538,5,4,5,7.07,6.31,3.01,11.36,3.49,0.41,0.37,0.18,0.59,0.55,0.66,0.20
633,James McArthur,Crystal Palace,29,2034,5,5,3,1.70,1.70,2.35,5.48,2.69,0.08,0.08,0.10,0.18,0.18,0.24,0.12
648,Nacer Chadli,West Bromwich Albion,31,2169,5,4,5,5.81,5.05,4.27,9.24,3.26,0.24,0.21,0.18,0.42,0.39,0.38,0.14
686,Cesc Fàbregas,Chelsea,29,1294,5,5,12,2.81,2.81,7.85,11.54,6.13,0.20,0.20,0.55,0.74,0.74,0.80,0.43
730,Patrick van Aanholt,Crystal Palace,32,2493,5,5,1,3.48,3.48,2.14,5.74,2.41,0.13,0.13,0.08,0.20,0.20,0.21,0.09
844,Jay Rodriguez,Southampton,24,866,5,5,2,4.76,4.76,0.51,4.88,0.51,0.50,0.50,0.05,0.55,0.55,0.51,0.05
878,Yaya Touré,Manchester City,25,1955,5,3,0,3.70,2.18,1.12,11.30,10.28,0.17,0.10,0.05,0.22,0.15,0.52,0.47
990,James Morrison,West Bromwich Albion,31,1736,5,5,2,2.48,2.48,1.38,6.91,3.57,0.13,0.13,0.07,0.20,0.20,0.36,0.19
1678,Michy Batshuayi,Chelsea,20,221,5,5,1,3.76,3.76,0.03,4.59,1.31,1.53,1.53,0.01,1.54,1.54,1.87,0.54
1740,Paul Pogba,Manchester United,30,2606,5,5,4,6.51,6.51,5.59,16.90,9.89,0.22,0.22,0.19,0.42,0.42,0.58,0.34
317,Henrikh Mkhitaryan,Manchester United,24,1347,4,4,1,2.71,2.71,3.52,8.49,4.66,0.18,0.18,0.24,0.42,0.42,0.57,0.31
459,Charlie Daniels,Bournemouth,34,3060,4,4,3,1.61,1.61,2.17,9.37,7.03,0.05,0.05,0.06,0.11,0.11,0.28,0.21
516,Yohan Cabaye,Crystal Palace,32,2138,4,4,3,3.43,2.66,2.89,6.46,3.46,0.14,0.11,0.12,0.27,0.23,0.27,0.15
553,Anthony Martial,Manchester United,25,1558,4,4,6,3.31,3.31,3.67,8.69,2.49,0.19,0.19,0.21,0.40,0.40,0.50,0.14
585,Seamus Coleman,Everton,26,2317,4,4,3,1.38,1.38,2.76,10.48,8.17,0.05,0.05,0.11,0.16,0.16,0.41,0.32
595,Kevin Mirallas,Everton,35,2100,4,4,6,3.55,3.55,3.73,9.56,4.93,0.15,0.15,0.16,0.31,0.31,0.41,0.21
599,Oumar Niasse,Hull,17,1083,4,4,1,3.60,3.60,0.81,4.44,0.24,0.30,0.30,0.07,0.37,0.37,0.37,0.02
617,David Silva,Manchester City,34,2775,4,4,7,6.24,6.24,8.12,25.77,15.93,0.20,0.20,0.26,0.47,0.47,0.84,0.52
620,Kelechi Iheanacho,Manchester City,20,515,4,4,3,4.74,4.74,2.53,7.54,2.49,0.83,0.83,0.44,1.27,1.27,1.32,0.44
804,Craig Dawson,West Bromwich Albion,37,3281,4,4,0,2.97,2.97,1.10,3.42,2.82,0.08,0.08,0.03,0.11,0.11,0.09,0.08
836,Victor Wanyama,Tottenham,36,3021,4,4,1,4.79,4.79,2.04,11.89,9.31,0.14,0.14,0.06,0.20,0.20,0.35,0.28
843,James Ward-Prowse,Southampton,30,1886,4,4,4,4.65,4.65,2.89,8.68,4.27,0.22,0.22,0.14,0.36,0.36,0.41,0.20
863,Jonathan Walters,Stoke,23,1278,4,3,2,4.32,3.56,0.89,4.78,1.01,0.30,0.25,0.06,0.37,0.31,0.34,0.07
888,Xherdan Shaqiri,Stoke,21,1721,4,4,2,2.62,2.62,4.27,8.98,5.19,0.14,0.14,0.22,0.36,0.36,0.47,0.27
1383,Manolo Gabbiadini,Southampton,11,737,4,4,0,3.82,3.06,0.34,2.86,0.25,0.47,0.37,0.04,0.51,0.42,0.35,0.03
1698,Abel Hernández,Hull,24,1439,4,4,3,4.71,4.71,1.04,7.33,2.24,0.29,0.29,0.07,0.36,0.36,0.46,0.14
1709,Cristhian Stuani,Middlesbrough,23,1369,4,4,0,2.81,2.81,0.53,3.41,0.60,0.18,0.18,0.03,0.22,0.22,0.22,0.04
1710,Marten de Roon,Middlesbrough,33,2779,4,4,0,2.81,2.81,0.71,6.82,5.12,0.09,0.09,0.02,0.11,0.11,0.22,0.17
1727,Alfie Mawson,Swansea,27,2430,4,4,0,2.05,2.05,0.39,1.70,1.67,0.08,0.08,0.01,0.09,0.09,0.06,0.06
1732,Nolito,Manchester City,19,786,4,4,2,3.99,3.99,1.41,8.06,3.64,0.46,0.46,0.16,0.62,0.62,0.92,0.42
1737,Matt Phillips,West Bromwich Albion,27,2208,4,4,8,2.85,2.85,4.39,6.10,1.34,0.12,0.12,0.18,0.30,0.30,0.25,0.05
1763,Stefano Okaka,Watford,19,941,4,4,0,2.62,2.62,1.36,3.96,0.97,0.25,0.25,0.13,0.38,0.38,0.38,0.09
314,Ilkay Gündogan,Manchester City,10,717,3,3,1,1.92,1.92,0.98,6.54,4.15,0.24,0.24,0.12,0.36,0.36,0.82,0.52
483,Daniel Sturridge,Liverpool,20,757,3,3,1,4.35,4.35,1.64,7.81,3.21,0.52,0.52,0.19,0.71,0.71,0.93,0.38
500,Alex Iwobi,Arsenal,26,1471,3,3,3,3.23,3.23,2.22,9.35,5.63,0.20,0.20,0.14,0.33,0.33,0.57,0.34
512,Scott Dann,Crystal Palace,23,1746,3,3,1,1.39,1.39,0.92,2.08,2.05,0.07,0.07,0.05,0.12,0.12,0.11,0.11
530,James Tomkins,Crystal Palace,24,1984,3,3,0,4.00,4.00,0.10,2.61,2.56,0.18,0.18,0.00,0.19,0.19,0.12,0.12
533,Mark Noble,West Ham,30,2422,3,2,0,3.65,2.13,1.43,7.12,5.72,0.14,0.08,0.05,0.19,0.13,0.26,0.21
539,Enner Valencia,Everton,24,907,3,3,1,4.10,4.10,0.87,5.45,1.15,0.41,0.41,0.09,0.49,0.49,0.54,0.11
541,Victor Moses,Chelsea,34,2519,3,3,2,4.05,4.05,2.63,9.64,5.14,0.14,0.14,0.09,0.24,0.24,0.34,0.18
579,Nathan Aké,Bournemouth,12,826,3,3,1,2.19,2.19,1.01,4.44,2.88,0.24,0.24,0.11,0.35,0.35,0.48,0.31
587,Phil Jagielka,Everton,27,2252,3,3,2,1.27,1.27,0.70,5.04,4.97,0.05,0.05,0.03,0.08,0.08,0.20,0.20
612,Vincent Kompany,Manchester City,11,826,3,3,0,0.69,0.69,0.57,2.48,2.43,0.08,0.08,0.06,0.14,0.14,0.27,0.27
719,Wayne Routledge,Swansea,27,1957,3,3,1,3.78,3.78,2.05,6.52,1.78,0.17,0.17,0.09,0.27,0.27,0.30,0.08
754,Shinji Okazaki,Leicester,30,1594,3,3,1,2.96,2.96,1.24,5.20,2.08,0.17,0.17,0.07,0.24,0.24,0.29,0.12
775,Andros Townsend,Crystal Palace,36,2542,3,3,4,3.33,3.33,5.83,9.21,2.90,0.12,0.12,0.21,0.32,0.32,0.33,0.10
818,Victor Anichebe,Sunderland,18,1212,3,3,0,2.43,2.43,0.72,3.63,0.88,0.18,0.18,0.05,0.23,0.23,0.27,0.07
839,Shane Long,Southampton,32,1231,3,3,1,5.25,4.48,1.57,7.21,1.56,0.38,0.33,0.11,0.50,0.44,0.53,0.11
840,Dusan Tadic,Southampton,33,2457,3,2,5,6.76,5.24,5.70,13.27,6.24,0.25,0.19,0.21,0.46,0.40,0.49,0.23
871,Bojan,Stoke,9,474,3,1,0,2.82,0.53,0.16,1.28,0.65,0.53,0.10,0.03,0.56,0.13,0.24,0.12
904,Chris Brunt,West Bromwich Albion,31,2478,3,3,4,1.59,1.59,4.87,6.07,3.58,0.06,0.06,0.18,0.23,0.23,0.22,0.13
1674,Sofiane Feghouli,West Ham,21,1034,3,3,3,2.85,2.85,1.55,6.19,2.45,0.25,0.25,0.14,0.38,0.38,0.54,0.21
1683,Ryan Fraser,Bournemouth,28,1774,3,3,5,2.11,2.11,3.62,6.44,2.63,0.11,0.11,0.18,0.29,0.29,0.33,0.13
1690,Sam Clucas,Hull,37,3195,3,3,1,2.78,2.78,1.54,7.73,4.41,0.08,0.08,0.04,0.12,0.12,0.22,0.12
1738,Hal Robson-Kanu,West Bromwich Albion,29,654,3,3,2,1.94,1.94,0.80,2.59,0.51,0.27,0.27,0.11,0.38,0.38,0.36,0.07
1744,Michael Dawson,Hull,22,1718,3,3,0,0.69,0.69,0.24,1.76,1.69,0.04,0.04,0.01,0.05,0.05,0.09,0.09
204,Granit Xhaka,Arsenal,32,2492,2,2,2,0.91,0.91,2.12,13.47,12.10,0.03,0.03,0.08,0.11,0.11,0.49,0.44
458,Steve Cook,Bournemouth,38,3420,2,2,0,1.65,1.65,0.48,6.49,6.17,0.04,0.04,0.01,0.06,0.06,0.17,0.16
462,Dan Gosling,Bournemouth,27,1336,2,2,0,1.46,1.46,0.78,5.84,4.33,0.10,0.10,0.05,0.15,0.15,0.39,0.29
466,Marc Pugh,Bournemouth,21,1345,2,2,2,1.60,1.60,1.88,4.17,2.35,0.11,0.11,0.13,0.23,0.23,0.28,0.16
494,Laurent Koscielny,Arsenal,33,2828,2,2,0,1.33,1.33,0.20,7.75,7.71,0.04,0.04,0.01,0.05,0.05,0.25,0.25
501,Danny Welbeck,Arsenal,16,743,2,2,2,3.47,3.47,1.16,4.50,0.68,0.42,0.42,0.14,0.56,0.56,0.55,0.08
508,Calum Chambers,Arsenal,25,2250,2,2,1,0.84,0.84,0.61,3.61,3.13,0.03,0.03,0.02,0.06,0.06,0.14,0.13
519,Connor Wickham,Crystal Palace,8,406,2,2,0,1.09,1.09,0.00,1.27,0.35,0.24,0.24,0.00,0.24,0.24,0.28,0.08
529,Winston Reid,West Ham,30,2595,2,2,2,0.81,0.81,0.94,3.42,3.28,0.03,0.03,0.03,0.06,0.06,0.12,0.11
536,Dimitri Payet,West Ham,18,1520,2,2,6,3.22,3.22,5.92,6.66,2.99,0.19,0.19,0.35,0.54,0.54,0.39,0.18
568,José Holebas,Watford,33,2917,2,2,4,0.92,0.92,2.92,5.53,4.06,0.03,0.03,0.09,0.12,0.12,0.17,0.13
588,Leighton Baines,Everton,32,2827,2,0,3,2.75,0.47,2.69,12.14,10.55,0.09,0.01,0.09,0.17,0.10,0.39,0.34
590,Gareth Barry,Everton,33,2109,2,2,1,0.86,0.86,1.35,7.23,6.29,0.04,0.04,0.06,0.09,0.09,0.31,0.27
602,Dejan Lovren,Liverpool,29,2559,2,2,1,1.14,1.14,0.44,7.75,7.70,0.04,0.04,0.02,0.06,0.06,0.27,0.27
614,Fernandinho,Manchester City,32,2752,2,2,1,3.29,3.29,2.47,16.82,13.91,0.11,0.11,0.08,0.19,0.19,0.55,0.45
622,Wilfried Bony,Stoke,10,702,2,2,0,2.46,2.46,0.84,3.35,0.92,0.32,0.32,0.11,0.42,0.42,0.43,0.12
641,Danny Rose,Tottenham,18,1538,2,2,2,0.90,0.90,1.35,4.80,3.44,0.05,0.05,0.08,0.13,0.13,0.28,0.20
643,Eric Dier,Tottenham,36,3045,2,2,0,1.59,1.59,0.75,10.80,10.07,0.05,0.05,0.02,0.07,0.07,0.32,0.30
655,James Collins,West Ham,22,1649,2,2,0,1.06,1.06,0.20,1.33,1.15,0.06,0.06,0.01,0.07,0.07,0.07,0.06
736,Younes Kaboul,Sunderland,23,1919,2,2,0,1.42,1.42,0.07,0.76,0.65,0.07,0.07,0.00,0.07,0.07,0.04,0.03
737,Fabio Borini,Sunderland,24,1739,2,2,0,2.04,2.04,0.59,3.14,1.01,0.11,0.11,0.03,0.14,0.14,0.16,0.05
747,Robert Huth,Leicester,33,2932,2,2,2,2.03,2.03,1.55,3.80,2.95,0.06,0.06,0.05,0.11,0.11,0.12,0.09
749,Christian Fuchs,Leicester,36,3108,2,2,4,1.35,1.35,3.47,6.17,4.74,0.04,0.04,0.10,0.14,0.14,0.18,0.14
753,Marc Albrighton,Leicester,33,2449,2,2,6,1.28,1.28,4.64,6.40,2.81,0.05,0.05,0.17,0.22,0.22,0.24,0.10
764,Daryl Janmaat,Watford,27,1620,2,2,1,1.47,1.47,1.55,3.84,2.39,0.08,0.08,0.09,0.17,0.17,0.21,0.13
798,Martin Olsson,Swansea,15,1252,2,2,0,0.70,0.70,0.40,3.12,2.29,0.05,0.05,0.03,0.08,0.08,0.22,0.16
807,Jonny Evans,West Bromwich Albion,31,2635,2,2,1,1.81,1.81,0.33,3.06,3.04,0.06,0.06,0.01,0.07,0.07,0.10,0.10
809,Darren Fletcher,West Bromwich Albion,38,3242,2,2,3,1.87,1.87,1.75,6.90,4.34,0.05,0.05,0.05,0.10,0.10,0.19,0.12
835,Ryan Bertrand,Southampton,28,2509,2,2,4,0.67,0.67,2.69,8.27,6.51,0.02,0.02,0.10,0.12,0.12,0.30,0.23
952,Gastón Ramírez,Middlesbrough,24,1561,2,2,3,3.11,3.11,3.01,7.36,3.59,0.18,0.18,0.17,0.35,0.35,0.42,0.21
965,Santiago Cazorla,Arsenal,8,621,2,0,2,1.67,0.15,0.80,3.28,2.77,0.24,0.02,0.12,0.36,0.14,0.48,0.40
966,Alex Oxlade-Chamberlain,Arsenal,29,1564,2,2,7,2.44,2.44,4.47,10.30,5.44,0.14,0.14,0.26,0.40,0.40,0.59,0.31
1042,Tom Davies,Everton,24,1540,2,2,3,1.40,1.40,1.97,6.80,3.66,0.08,0.08,0.11,0.20,0.20,0.40,0.21
1126,M'Baye Niang,Watford,16,1278,2,2,2,1.27,1.27,1.85,3.64,1.71,0.09,0.09,0.13,0.22,0.22,0.26,0.12
1522,Andrea Ranocchia,Hull,16,1330,2,2,2,0.82,0.82,0.59,2.50,1.84,0.06,0.06,0.04,0.10,0.10,0.17,0.12
1653,Michael Keane,Burnley,35,3150,2,2,1,1.46,1.46,0.99,1.36,1.16,0.04,0.04,0.03,0.07,0.07,0.04,0.03
1656,George Boyd,Burnley,36,2866,2,2,1,1.48,1.48,2.15,4.61,1.89,0.05,0.05,0.07,0.11,0.11,0.14,0.06
1681,Ahmed Musa,Leicester,21,733,2,2,0,1.41,1.41,1.21,3.77,1.52,0.17,0.17,0.15,0.32,0.32,0.46,0.19
1687,Harry Maguire,Hull,29,2311,2,2,2,1.97,1.97,0.84,5.05,4.07,0.08,0.08,0.03,0.11,0.11,0.20,0.16
1694,Adama Diomande,Hull,22,1149,2,2,0,2.54,2.54,0.66,3.56,0.95,0.20,0.20,0.05,0.25,0.25,0.28,0.07
1699,Shkodran Mustafi,Arsenal,26,2274,2,2,2,1.10,1.10,0.97,8.30,8.04,0.04,0.04,0.04,0.08,0.08,0.33,0.32
1723,Roberto Pereyra,Watford,13,1044,2,2,2,1.38,1.38,1.70,4.25,2.07,0.12,0.12,0.15,0.27,0.27,0.37,0.18
1725,Christian Kabasele,Watford,16,767,2,2,0,1.67,1.67,0.10,0.33,0.20,0.20,0.20,0.01,0.21,0.21,0.04,0.02
1730,Vincent Janssen,Tottenham,27,815,2,1,2,4.42,3.66,1.25,3.79,0.90,0.49,0.40,0.14,0.63,0.54,0.42,0.10
1746,Jeff Hendrick,Burnley,32,2698,2,2,1,1.31,1.31,0.65,2.78,1.84,0.04,0.04,0.02,0.07,0.07,0.09,0.06
4406,Lazar Markovic,Hull,12,1024,2,2,0,2.22,2.22,0.45,3.60,1.06,0.20,0.20,0.04,0.23,0.23,0.32,0.09
5545,Wilfred Ndidi,Leicester,17,1523,2,2,1,1.85,1.85,0.98,2.95,1.90,0.11,0.11,0.06,0.17,0.17,0.17,0.11
5549,Luka Milivojevic,Crystal Palace,14,1230,2,0,0,1.99,0.47,0.64,2.55,1.91,0.15,0.03,0.05,0.19,0.08,0.19,0.14
332,Joel Matip,Liverpool,29,2453,1,1,0,3.10,3.10,0.51,7.16,6.88,0.11,0.11,0.02,0.13,0.13,0.26,0.25
492,Héctor Bellerín,Arsenal,33,2496,1,1,4,2.27,2.27,3.57,12.36,7.49,0.08,0.08,0.13,0.21,0.21,0.45,0.27
504,Aaron Ramsey,Arsenal,23,1212,1,1,4,3.51,3.51,4.43,11.13,5.29,0.26,0.26,0.33,0.59,0.59,0.83,0.39
517,Joe Ledley,Crystal Palace,18,1169,1,1,0,0.13,0.13,0.15,1.96,1.72,0.01,0.01,0.01,0.02,0.02,0.15,0.13
518,Yannick Bolasie,Crystal Palace,14,1056,1,1,4,1.22,1.22,4.77,6.78,1.36,0.10,0.10,0.41,0.51,0.51,0.58,0.12
532,Cheikhou Kouyaté,West Ham,31,2738,1,1,0,1.05,1.05,0.32,4.68,4.00,0.03,0.03,0.01,0.04,0.04,0.15,0.13
542,Pedro Obiang,West Ham,22,1778,1,1,1,0.38,0.38,0.47,5.10,4.39,0.02,0.02,0.02,0.04,0.04,0.26,0.22
548,Daley Blind,Manchester United,23,1827,1,1,2,0.43,0.43,2.05,7.50,6.48,0.02,0.02,0.10,0.12,0.12,0.37,0.32
550,Marcos Rojo,Manchester United,21,1658,1,1,0,1.03,1.03,0.27,4.78,4.36,0.06,0.06,0.01,0.07,0.07,0.26,0.24
551,Morgan Schneiderlin,Everton,17,1067,1,1,0,0.71,0.71,0.13,5.68,5.12,0.06,0.06,0.01,0.07,0.07,0.48,0.43
552,Ander Herrera,Manchester United,31,2466,1,1,6,1.43,1.43,4.00,14.33,10.75,0.05,0.05,0.15,0.20,0.20,0.52,0.39
558,Jesse Lingard,Manchester United,25,1384,1,1,2,3.76,3.76,2.20,10.84,5.96,0.24,0.24,0.14,0.39,0.39,0.70,0.39
566,Sebastian Prödl,Watford,33,2774,1,1,1,1.85,1.85,0.87,3.04,2.43,0.06,0.06,0.03,0.09,0.09,0.10,0.08
567,Miguel Britos,Watford,27,2291,1,1,2,2.01,2.01,1.57,2.36,2.03,0.08,0.08,0.06,0.14,0.14,0.09,0.08
573,Odion Ighalo,Watford,18,1292,1,1,1,3.47,3.47,0.64,4.64,0.90,0.24,0.24,0.04,0.29,0.29,0.32,0.06
