,Player Id,Name,Birth Year,Age,Team,Position,year
0,33404,Eden Hazard,1991,23,Chelsea,Forward,2014
1,25244,Alexis Sanchez,1989,25,Arsenal,Forward,2014
2,14260,Sergio Aguero,1988,26,Man City,Forward,2014
3,8040,Cesc Fabregas,1987,27,Chelsea,Midfielder,2014
4,4522,Santi Cazorla,1985,29,Arsenal,Midfielder,2014
5,13756,Mesut Ozil,1989,25,Arsenal,Midfielder,2014
6,13727,Mile Jedinak,1984,30,Crystal Palace,Midfielder,2014
7,14102,David Silva,1986,28,Man City,Midfielder,2014
8,81726,Phil Jones,1992,22,Man Utd,Defender,2014
9,29544,Morgan Schneiderlin,1990,24,Southampton,Midfielder,2014
10,38128,Nemanja Matic,1988,26,Chelsea,Midfielder,2014
11,69738,Francis Coquelin,1991,23,Arsenal,Midfielder,2014
12,33064,Victor Moses,1991,23,Stoke,Midfielder,2014
13,24248,Diego Costa,1989,25,Chelsea,Forward,2014
14,4145,Robert Huth,1984,30,Leicester,Defender,2014
15,14053,Yaya Toure,1983,31,Man City,Midfielder,2014
16,33930,James Tomkins,1989,25,West Ham,Defender,2014
17,30051,Laurent Koscielny,1986,28,Arsenal,Defender,2014
18,29908,Federico Fazio,1987,27,Tottenham,Defender,2014
19,6042,Gael Clichy,1985,29,Man City,Defender,2014
20,76810,Gabriel Paulista,1991,23,Arsenal,Defender,2014
21,8462,Boaz Myhill,1983,31,WBA,Goalkeeper,2014
22,71345,Chris Smalling,1990,24,Man Utd,Defender,2014
23,14075,Jonas Gutierrez,1983,31,Newcastle,Midfielder,2014
24,80767,Philippe Coutinho,1992,22,Liverpool,Midfielder,2014
25,23072,Nacho Monreal,1986,28,Arsenal,Defender,2014
26,71174,Ander Herrera,1989,25,Man Utd,Midfielder,2014
27,8484,Curtis Davies,1985,29,Hull,Defender,2014
28,12267,Aleksandar Kolarov,1986,28,Man City,Defender,2014
29,2366,Jussi Jaaskelainen,1975,39,West Ham,Goalkeeper,2014
30,83532,Harry Kane,1993,21,Tottenham,Forward,2014
31,23383,Andy Carroll,1989,25,West Ham,Forward,2014
32,3859,Wayne Rooney,1986,28,Man Utd,Forward,2014
33,97692,Raheem Sterling,1995,19,Liverpool,Forward,2014
34,35174,Leroy Fer,1990,24,QPR,Midfielder,2014
35,6105,Phil Jagielka,1982,32,Everton,Defender,2014
36,12414,Jason Shackell,1984,30,Burnley,Defender,2014
37,8222,Leighton Baines,1985,29,Everton,Defender,2014
38,70050,Marcos Rojo,1990,24,Man Utd,Defender,2014
39,15338,Branislav Ivanovic,1984,30,Chelsea,Defender,2014
40,11367,Mathieu Debuchy,1985,29,Arsenal,Defender,2014
41,25931,Cesar Azpilicueta,1989,25,Chelsea,Defender,2014
42,8166,Ashley Young,1985,29,Man Utd,Defender,2014
43,18296,Antonio Valencia,1985,29,Man Utd,Defender,2014
44,24444,Olivier Giroud,1987,27,Arsenal,Forward,2014
45,24711,Danny Rose,1990,24,Tottenham,Defender,2014
46,8408,Ashley Williams,1984,30,Swansea,Defender,2014
47,14244,Pablo Zabaleta,1985,29,Man City,Defender,2014
48,71268,Sebastian Coates,1991,23,Sunderland,Defender,2014
49,73063,Craig Dawson,1990,24,WBA,Defender,2014
51,19840,Martin Skrtel,1985,29,Liverpool,Defender,2014
52,8148,James Collins,1983,31,West Ham,Defender,2014
53,41065,Oscar,1992,22,Chelsea,Midfielder,2014
54,19859,Jose Fonte,1984,30,Southampton,Defender,2014
55,8157,Wes Morgan,1984,30,Leicester,Defender,2014
56,19119,Fernandinho,1985,29,Man City,Midfielder,2014
57,66741,Cheikhou Kouyate,1990,24,West Ham,Midfielder,2014
58,70033,Daley Blind,1990,24,Man Utd,Defender,2014
59,8507,Chris Brunt,1985,29,WBA,Midfielder,2014
60,69346,Gylfi Sigurdsson,1990,24,Swansea,Midfielder,2014
61,22847,Jack Cork,1989,25,Swansea,Midfielder,2014
62,39308,Danny Welbeck,1991,23,Arsenal,Forward,2014
63,125211,Hector Bellerin,1995,19,Arsenal,Defender,2014
64,20339,James McArthur,1988,26,Crystal Palace,Midfielder,2014
65,34876,Ahmed El Mohamady,1988,26,Hull,Defender,2014
66,101374,John Stones,1994,20,Everton,Defender,2014
67,76499,Steven Caulker,1992,22,QPR,Defender,2014
68,104749,Riyad Mahrez,1991,23,Leicester,Forward,2014
69,22738,Marouane Fellaini,1988,26,Man Utd,Midfielder,2014
70,31402,Bojan,1990,24,Stoke,Forward,2014
